"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Warren, Will",701542,2026,105,29.5,5.7,".283",".306",29.9,7.5,44.8,"79.752203824","94.998429254",23.8,43.3
"Vásquez, Randy",681190,2026,114,26.3,7,".283",".329",35.1,13.5,41.9,"78.763527027","94.892165068",28.6,49.9
"Kochanowicz, Jack",686799,2026,122,15.6,13.9,".269",".358",31.8,8.2,42.4,"80.7023305","95.150725125",22.8,44.8
"Kikuchi, Yusei",579328,2026,111,24.3,9.9,".366",".353",34.7,8.3,44.4,"80.694686944","95.479457083",28.6,48.2
"Abbott, Andrew",671096,2026,114,13.2,9.6,".361",".348",29.5,6.8,35.2,"76.696609024","94.088041829",20.5,44.2
"Liberatore, Matthew",669461,2026,117,13.7,8.5,".345",".342",35.2,7.7,40.7,"81.16161","94.416356222",18.1,46
"Burke, Sean",680732,2026,87,19.5,6.9,".324",".341",36.5,4.8,39.7,"78.427470968","94.03664082",16.2,48.1
"Dollander, Chase",801403,2026,104,30.8,6.7,".282",".269",25.8,11.3,54.8,"82.169551935","95.677527377",30.3,51.4
"McGreevy, Michael",700241,2026,105,14.3,4.8,".270",".395",35.3,14.1,36.5,"75.179759524","94.428338795",14.1,43.1
"Pérez, Eury",691587,2026,112,24.1,10.7,".339",".344",35.2,15.5,45.1,"77.392366857","95.188548714",30.9,50.9
"Kirby, George",669923,2026,129,20.9,6.2,".283",".274",20.4,5.4,47.3,"81.20209913","95.192059891",19.8,52.4
"Keller, Mitch",656605,2026,115,16.5,7.8,".271",".300",31.4,2.3,38.4,"72.941416279","93.618135",21.2,46.1
"Gilbert, Logan",669302,2026,115,27.8,4.3,".337",".282",37.7,9.1,45.5,"81.079737632","94.697004342",30.1,47.5
"Eovaldi, Nathan",543135,2026,122,23.8,6.6,".360",".321",34.5,7.1,46.4,"80.87290381","95.292808095",30.7,52.5
"Early, Connelly",813349,2026,107,22.4,12.1,".313",".371",34.3,13.4,40.3,"82.885208485","94.694353939",23,41.8
"Crochet, Garrett",676979,2026,116,25.9,7.8,".397",".366",43.8,11,43.8,"78.334441714","94.671534857",23,49.8
"Cantillo, Joey",676282,2026,103,29.1,11.7,".328",".307",30,11.7,43.3,"79.700712","94.713167667",28.3,41.7
"Bradish, Kyle",680694,2026,115,24.3,11.3,".372",".307",28.4,8.1,37.8,"74.697070278","93.914618169",25.4,45.3
"Bradley, Taj",671737,2026,118,28.8,8.5,".277",".290",48.6,4.2,45.8,"86.011925278","95.398670833",26.6,46.5
"McLean, Nolan",690997,2026,114,33.3,7,".214",".224",34.3,6,29.9,"73.906532647","92.976751194",27.3,41.2
"King, Michael",650633,2026,112,23.2,12.5,".283",".326",34.3,10.4,37.3,"78.803842727","94.015006818",26.9,44.9
"Burrows, Mike",681347,2026,122,20.5,7.4,".391",".315",36.8,5.7,35.6,"76.316347045","93.238000115",27,49.3
"Mlodzinski, Carmen",669387,2026,108,24.1,9.3,".304",".305",28.2,2.8,57.7,"83.074477222","96.034447746",20,43.6
"Fried, Max",608331,2026,127,18.1,6.3,".215",".243",26.6,1.1,29.8,"75.865222979","92.973192688",19,44
"Webb, Logan",657277,2026,132,20.5,8.3,".319",".333",28.3,6.5,52.2,"81.138577391","96.04220044",20.2,46.6
"Valdez, Framber",664285,2026,127,15.7,7.1,".277",".290",26.8,4.1,41.2,"77.975063061","94.371876495",17.6,49.6
"Bibee, Tanner",676440,2026,107,21.5,8.4,".356",".347",29.3,9.3,56,"83.856048919","96.431058514",28.7,47.2
"Ray, Robbie",592662,2026,114,27.2,9.6,".297",".340",37.5,15.3,33.3,"75.675167143","93.35640913",28.9,48.2
"Messick, Parker",800048,2026,113,25.7,7.1,".233",".285",29.3,2.7,29.3,"75.307337297","93.150384324",25.4,50
"Soriano, José",667755,2026,120,32.5,10.8,".170",".266",27.9,10.3,30.9,"76.722598788","92.687923636",33,43.9
"Schlittler, Cam",693645,2026,105,34.3,2.9,".199",".243",36.4,6.1,40.9,"75.109221212","93.918698",32.4,58.2
"Springs, Jeffrey",605488,2026,116,23.3,7.8,".269",".281",30,8.8,31.3,"75.20485625","92.764203375",27,43.2
