"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Manzardo, Kyle",700932,2026,73,38.4,6.8,".240",".285",31.6,10.5,34.2,"98.738075263","93.729841351",35.3,47.8
"Moncada, Yoán",660162,2026,83,33.7,16.9,".310",".286",25.6,7.7,41,"99.934016842","94.181877368",29.5,35.8
"Raley, Luke",670042,2026,75,36,5.3,".421",".441",52.4,21.4,52.4,"104.08577","96.627266341",47.8,54.3
"Caglianone, Jac",695506,2026,75,29.3,8,".340",".359",42.2,17.8,55.6,"107.753132609","98.854055556",31.5,44.6
"Duran, Jarren",680776,2026,74,28.4,8.1,".234",".278",23.9,10.9,37,"101.954500455","94.984112045",40.2,49.6
"Schwarber, Kyle",656941,2026,98,34.7,14.3,".390",".396",39.1,23.9,54.3,"102.826733913","96.279029783",34.4,40.8
"Karros, Kyle",691720,2026,75,20,18.7,".316",".378",47.8,8.7,45.7,"101.107787391","95.18160913",25.2,39.2
"Chisholm Jr., Jazz",665862,2026,83,31.3,10.8,".240",".216",17,4.3,31.9,"97.761215217","92.937812391",30.7,43.7
"O'Hoppe, Logan",681351,2026,79,25.3,11.4,".278",".291",27.7,10.6,40.4,"100.035796667","94.256572553",29.9,46.1
"Steer, Spencer",668715,2026,78,30.8,5.1,".295",".316",37.5,16.7,35.4,"99.773022609","94.22315087",25.5,46.8
"Norby, Connor",681393,2026,81,27.2,8.6,".341",".303",29.2,8.3,37.5,"97.514496667","93.101735208",30.1,46.5
"Happ, Ian",664023,2026,92,31.5,14.1,".387",".366",36.7,18.4,49,"102.517652","95.847031633",35.7,42.3
"Carter, Evan",694497,2026,79,21.5,16.5,".312",".339",40.8,10.2,40.8,"99.579044783","94.119946957",23.3,39.1
"Okamoto, Kazuma",672960,2026,89,33.7,10.1,".294",".293",34,10,48,"101.9589404","95.2284954",33.5,44.8
"Smith, Josh",669701,2026,74,18.9,10.8,".232",".300",37.3,5.9,37.3,"98.7309752","93.654088",27.2,48.1
"Ramos, Heliot",671218,2026,83,32.5,6,".304",".314",39.2,15.7,49,"103.9460564","96.629703469",28.9,52
"Stanton, Giancarlo",519317,2026,81,29.6,7.4,".298",".308",37.3,13.7,35.3,"102.447731923","95.586291373",37.2,45.7
"Muncy, Max",571970,2026,85,29.4,10.6,".434",".408",31.4,17.6,54.9,"102.328723077","95.954128431",30.9,46.9
"Grisham, Trent",663757,2026,81,17.3,18.5,".312",".377",23.1,11.5,57.7,"101.622448077","96.052032885",18.7,33.4
